date,year,area,average_price,houses_sold
2019-01-01,2019,haringey,545524,158.0
2019-01-01,2019,harrow,453365,169.0
2019-01-01,2019,havering,367019,224.0
2019-01-01,2019,hillingdon,413405,211.0
2019-01-01,2019,hounslow,397052,158.0
2019-01-01,2019,islington,635328,128.0
2019-01-01,2019,kensington and chelsea,1285331,117.0
2019-01-01,2019,kingston upon thames,482032,153.0
2019-01-01,2019,lambeth,501861,227.0
2019-01-01,2019,lewisham,402343,192.0
2019-01-01,2019,merton,512341,167.0
2019-01-01,2019,newham,358029,184.0
2019-01-01,2019,redbridge,420810,150.0
2019-01-01,2019,richmond upon thames,655056,162.0
2019-01-01,2019,southwark,500164,210.0
2019-01-01,2019,sutton,374145,185.0
2019-01-01,2019,tower hamlets,434143,236.0
2019-01-01,2019,waltham forest,435182,208.0
2019-01-01,2019,wandsworth,587609,304.0
2019-01-01,2019,westminster,959408,125.0
